symbol,name,sector,industry,story,latest_price_yuan,market_cap_100m,revenue_100m,net_profit_100m,gross_margin_pct,net_margin_pct,roe_pct,roa_pct,debt_ratio_pct,revenue_growth_yoy_pct,profit_growth_yoy_pct,pe_ttm,pb_ratio,eps_yuan,dps_yuan,dividend_yield_pct,nim_pct,npl_ratio_pct,total_assets_100m,shares_100m
600519,贵州茅台,白酒,食品饮料,高端白酒龙头，超高壁垒，长期稳健增长，现金奶牛,1490.0,18714.4,1598,805,92.8,50.38,28.96,19.22,33.62,8.19,7.76,23.25,6.73,64.0924,55.8,3.74,,,4188,12.56
300750,宁德时代,新能源,电气设备,全球动力电池龙头，高速增长后面临竞争压力与利润率分化,175.0,4173.75,3585,380,22.2,10.6,17.27,5.41,68.66,-10.58,-14.03,10.98,1.9,15.9329,1.8,1.03,,,7020,23.85
601318,中国平安,保险,非银金融,综合金融集团，寿险改革+地产拖累，利润承压触底回升,38.5,7037.8,8820,930,,10.54,11.34,0.75,93.36,3.04,8.64,7.57,0.86,5.0875,1.5,3.9,,,123500,182.8
600036,招商银行,银行,银行,零售银行标杆，ROE 远超同业，净息差承压但资产质量优秀,33.8,8524.36,3310,1490,,45.02,18.74,1.25,93.32,-2.39,1.64,5.72,1.07,5.908,2.0,5.92,1.99,0.95,119000,252.2
601398,工商银行,银行,银行,全球最大银行，规模领先，低估值，股息率具吸引力,6.18,22026.76,8220,3680,,44.77,10.57,0.82,92.23,-4.23,1.07,5.99,0.63,1.0325,0.31,5.02,1.47,1.35,448000,3564.2
002594,比亚迪,新能源汽车,汽车,新能源汽车龙头，垂直整合优势，销量爆发带动利润快速释放,295.0,8537.3,7775,402,18.52,5.17,11.17,4.1,63.27,29.09,34.0,21.24,2.37,13.8908,0.8,0.27,,,9800,28.94
600030,中信证券,证券,非银金融,国内最大券商，业务全面，营收随市场周期波动,23.5,3496.8,645,210,,32.56,9.46,1.44,84.79,7.5,6.6,16.65,1.58,1.4113,0.48,2.04,,,14600,148.8
300059,东方财富,互联网金融,非银金融,财富管理平台龙头，轻资产高 ROE，受 A 股成交量影响大,17.2,2549.04,96,62,,64.58,7.95,1.29,83.75,9.09,10.71,41.11,3.27,0.4184,0.33,1.92,,,4800,148.2
603288,海天味业,调味品,食品饮料,酱油龙头，高毛利稳定，但高估值遇到零添加竞争与消费降级,41.8,1776.5,258,66,44.57,25.58,20.95,15.64,25.36,4.88,8.2,26.92,5.64,1.5529,1.2,2.87,,,422,42.5
000002,万科A,房地产,房地产,曾经的龙头房企，深陷地产寒冬，流动性压力显著，利润大幅下滑,6.9,801.78,2458,-45,6.02,-1.83,-2.68,-0.33,87.83,-34.65,-25.0,,0.48,-0.3873,0.0,0.0,,,13800,116.2
